ticker;categoria
AMD;Azioni
NVDA;Azioni
TSLA;Azioni
CVX;Azioni
ISP.MI;Azioni
ENEL.MI;Azioni
LDO.MI;Azioni
CVS;Azioni
SWDA.MI;Etf
CSSPX.MI;Etf
HEMA.MI;Etf
CSSX5E.MI;Etf
QNTM.MI;Etf
BTC-EUR;Crypto
SOL-EUR;Crypto
XRP-EUR;Crypto
OBBL2030;Obbligazioni
BTP10.MI;Obbligazioni
IBGX.MI;Obbligazioni
PPFB.DE;Commodities
