titolo;categoria;ticker;piattaforma;importo;commissioni;quantità;data;profitto
Amundi Btp Italy 10y;Obbligazioni;BTP10.MI;scalable;30.0;0.0;0.194;04/12/2025;0.0
Euro Govt Bond 3-5y;Obbligazioni;IBGX.MI;scalable;30.2;0.0;0.187;04/12/2025;0.0
Physical Gold ETC;Commodities;PPFB.DE;scalable;10.07;0.0;0.143;16/12/2025;0.0
Intesa San Paolo;Azioni;ISP.MI;trade;8.0;0.0;1.376225;16/12/2025;0.0
Leonardo-Finmeccanica;Azioni;LDO.MI;trade;8.0;0.0;0.174329;16/12/2025;0.0
Enel;Azioni;ENEL.MI;trade;10.0;0.0;1.126506;16/12/2025;0.0
CSV heath;Azioni;CVS;trade;8.0;0.0;0.118659;16/12/2025;0.0
Chevron;Azioni;CVX;trade;10.0;0.0;0.080179;16/12/2025;0.0
Nvidia;Azioni;NVDA;trade;8.0;0.0;0.053461;16/12/2025;0.0
Core EURO STOXX 50;Etf;CSSX5E.MI;trade;8.0;0.0;0.03589;02/01/2026;0.0
MSCI Emerging Markt;Etf;HEMA.MI;trade;20.0;0.0;1.511658;02/01/2026;0.0
Core S&P 500;Etf;CSSPX.MI;trade;20.0;0.0;0.031776;02/01/2026;0.0
Quantum Computing USD;Etf;QNTM.MI;trade;10.0;0.0;0.467617;02/01/2026;0.0
Euro Govt Bond 3-5y;Etf;IBGX.MI;scalable;30.25;0.0;0.188;05/01/2026;0.0
Amundi Btp Italy 10y;Etf;BTP10.MI;scalable;30.0;0.0;0.195;05/01/2026;0.0
Enel;Azioni;ENEL.MI;trade;10.0;0.0;1.073537;16/01/2026;0.0
Intesa San Paolo;Azioni;ISP.MI;trade;8.0;0.0;1.339584;16/01/2026;0.0
MSCI World;Etf;SWDA.MI;trade;0.5;0.0;0.004433;23/01/2026;0.0
Physical Gold ETC;Commodities;PPFB.DE;scalable;10.08;0.0;0.131;16/01/2026;0.0
Amundi Btp Italy 10y;Obbligazioni;BTP10.MI;scalable;30.0;0.0;0.193;02/02/2026;0.0
Euro Govt Bond 3-5y;Obbligazioni;IBGX.MI;scalable;30.3;0.0;0.187;02/02/2026;0.0
Physical Gold ETC;Commodities;PPFB.DE;scalable;10.09;0.0;0.123;16/02/2026;0.0
Euro Govt Bond 3-5y;Obbligazioni;IBGX.MI;scalable;30.35;0.0;0.187;04/03/2026;0.0
Amundi Btp Italy 10y;Obbligazioni;BTP10.MI;scalable;30.0;0.0;0.192;04/03/2026;0.0
Physical Gold ETC;Commodities;PPFB.DE;scalable;10.1;0.0;0.12;16/03/2026;0.0
Amundi Btp Italy 10y;Obbligazioni;BTP10.MI;scalable;30.0;0.0;0.197;07/04/2026;0.0
Amundi Btp Italy 10y;Obbligazioni;IBGX.MI;scalable;30.4;0.0;0.19;07/04/2026;0.0
